station_id,lat,lon,date,parameter,value,unit
IN_Bengaluru_City,12.97,77.59,2023-10-02,so2,5.2,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-02,co,0.31,mg/m³
IN_Bengaluru_City,12.97,77.59,2023-10-02,o3,17.6,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-02,pm25,19.6,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-02,pm10,62.1,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-02,no2,24.1,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-02,so2,5.3,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-02,co,0.4,mg/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-02,o3,44.8,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-02,pm25,50.7,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-02,pm10,80.0,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-02,no2,26.5,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-02,so2,13.2,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-02,co,1.07,mg/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-02,o3,45.1,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-02,pm25,20.1,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-02,pm10,36.6,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-02,no2,22.1,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-02,so2,12.6,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-02,co,0.6,mg/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-02,o3,28.9,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-03,pm25,92.4,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-03,pm10,140.0,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-03,no2,65.4,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-03,so2,12.6,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-03,co,1.28,mg/m³
IN_Delhi_ITO,28.63,77.24,2023-10-03,o3,83.1,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-03,pm25,82.0,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-03,pm10,130.2,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-03,no2,58.7,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-03,so2,26.1,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-03,co,1.22,mg/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-03,o3,77.0,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-03,pm25,93.2,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-03,pm10,122.1,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-03,no2,42.0,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-03,so2,8.8,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-03,co,0.84,mg/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-03,o3,75.8,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-03,pm25,38.9,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-03,pm10,138.4,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-03,no2,58.6,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-03,so2,9.2,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-03,co,0.8,mg/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-03,o3,90.2,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-03,pm25,58.9,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-03,pm10,78.4,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-03,no2,35.4,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-03,so2,5.8,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-03,co,0.35,mg/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-03,o3,36.5,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-03,pm25,21.7,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-03,pm10,60.4,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-03,no2,23.4,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-03,so2,10.4,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-03,co,0.38,mg/m³
IN_Bengaluru_City,12.97,77.59,2023-10-03,o3,32.5,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-03,pm25,16.1,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-03,pm10,44.5,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-03,no2,17.3,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-03,so2,7.4,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-03,co,0.46,mg/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-03,o3,19.6,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-03,pm25,42.2,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-03,pm10,148.1,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-03,no2,33.1,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-03,so2,13.1,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-03,co,0.75,mg/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-03,o3,57.6,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-03,pm25,32.8,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-03,pm10,54.0,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-03,no2,26.0,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-03,so2,6.7,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-03,co,0.54,mg/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-03,o3,34.2,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-04,pm25,90.1,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-04,pm10,190.5,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-04,no2,40.3,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-04,so2,21.9,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-04,co,1.24,mg/m³
IN_Delhi_ITO,28.63,77.24,2023-10-04,o3,74.5,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-04,pm25,76.5,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-04,pm10,166.3,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-04,no2,31.8,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-04,so2,26.1,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-04,co,0.89,mg/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-04,o3,39.8,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-04,pm25,104.0,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-04,pm10,186.4,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-04,no2,74.2,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-04,so2,18.9,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-04,co,0.99,mg/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-04,o3,73.4,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-04,pm25,91.8,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-04,pm10,147.9,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-04,no2,42.6,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-04,so2,12.0,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-04,co,0.79,mg/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-04,o3,48.1,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-04,pm25,26.8,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-04,pm10,119.4,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-04,no2,39.0,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-04,so2,16.5,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-04,co,0.89,mg/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-04,o3,31.2,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-04,pm25,32.5,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-04,pm10,95.7,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-04,no2,13.4,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-04,so2,7.7,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-04,co,0.3,mg/m³
IN_Bengaluru_City,12.97,77.59,2023-10-04,o3,34.8,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-04,pm25,40.0,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-04,pm10,73.8,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-04,no2,15.7,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-04,so2,13.1,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-04,co,0.28,mg/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-04,o3,30.8,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-04,pm25,51.9,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-04,pm10,119.4,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-04,no2,31.7,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-04,so2,14.8,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-04,co,0.52,mg/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-04,o3,33.6,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-04,pm25,28.0,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-04,pm10,80.4,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-04,no2,24.7,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-04,so2,8.4,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-04,co,0.61,mg/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-04,o3,37.6,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-05,pm25,117.6,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-05,pm10,114.5,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-05,no2,64.9,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-05,so2,17.9,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-05,co,1.0,mg/m³
IN_Delhi_ITO,28.63,77.24,2023-10-05,o3,90.0,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-05,pm25,117.1,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-05,pm10,205.8,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-05,no2,57.0,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-05,so2,9.5,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-05,co,1.29,mg/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-05,o3,82.5,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-05,pm25,80.4,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-05,pm10,160.2,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-05,no2,47.6,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-05,so2,28.1,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-05,co,1.25,mg/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-05,o3,62.4,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-05,pm25,60.7,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-05,pm10,116.8,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-05,no2,27.4,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-05,so2,19.3,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-05,co,1.48,mg/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-05,o3,66.8,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-05,pm25,47.3,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-05,pm10,132.0,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-05,no2,21.5,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-05,so2,9.8,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-05,co,0.64,mg/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-05,o3,39.3,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-05,pm25,35.8,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-05,pm10,38.9,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-05,no2,12.5,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-05,so2,7.1,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-05,co,0.72,mg/m³
IN_Bengaluru_City,12.97,77.59,2023-10-05,o3,20.2,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-05,pm25,20.3,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-05,pm10,34.9,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-05,no2,11.9,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-05,so2,6.8,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-05,co,0.44,mg/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-05,o3,38.5,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-05,pm25,58.7,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-05,pm10,104.0,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-05,no2,21.2,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-05,so2,10.4,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-05,co,0.69,mg/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-05,o3,43.3,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-05,pm25,18.6,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-05,pm10,74.0,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-05,no2,18.2,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-05,so2,7.6,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-05,co,0.42,mg/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-05,o3,24.2,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-06,pm25,41.4,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-06,pm10,115.8,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-06,no2,33.6,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-06,so2,23.2,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-06,co,1.25,mg/m³
IN_Delhi_ITO,28.63,77.24,2023-10-06,o3,69.8,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-06,pm25,83.3,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-06,pm10,114.4,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-06,no2,44.2,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-06,so2,16.7,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-06,co,0.99,mg/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-06,o3,51.6,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-06,pm25,49.8,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-06,pm10,96.5,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-06,no2,32.4,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-06,so2,23.8,ug/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-06,co,0.55,mg/m³
IN_Lucknow_Lalbagh,26.85,80.94,2023-10-06,o3,104.6,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-06,pm25,55.0,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-06,pm10,190.1,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-06,no2,53.8,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-06,so2,19.9,ug/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-06,co,1.81,mg/m³
IN_Patna_EcoPark,25.6,85.12,2023-10-06,o3,62.3,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-06,pm25,57.5,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-06,pm10,75.3,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-06,no2,28.8,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-06,so2,12.9,ug/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-06,co,0.47,mg/m³
IN_Mumbai_Bandra,19.06,72.82,2023-10-06,o3,45.4,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-06,pm25,32.6,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-06,pm10,37.9,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-06,no2,12.2,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-06,so2,10.2,ug/m³
IN_Bengaluru_City,12.97,77.59,2023-10-06,co,0.5,mg/m³
IN_Bengaluru_City,12.97,77.59,2023-10-06,o3,34.2,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-06,pm25,27.6,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-06,pm10,42.5,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-06,no2,13.7,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-06,so2,12.4,ug/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-06,co,0.28,mg/m³
IN_Chennai_Alandur,13.0,80.2,2023-10-06,o3,21.8,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-06,pm25,33.6,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-06,pm10,101.5,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-06,no2,25.9,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-06,so2,17.3,ug/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-06,co,0.58,mg/m³
IN_Kolkata_Victoria,22.54,88.34,2023-10-06,o3,28.5,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-06,pm25,33.6,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-06,pm10,82.5,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-06,no2,19.8,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-06,so2,9.1,ug/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-06,co,0.29,mg/m³
IN_Hyderabad_Sanathnagar,17.45,78.43,2023-10-06,o3,26.8,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-07,pm25,59.9,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-07,pm10,171.4,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-07,no2,58.2,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-07,so2,15.2,ug/m³
IN_Delhi_ITO,28.63,77.24,2023-10-07,co,1.06,mg/m³
IN_Delhi_ITO,28.63,77.24,2023-10-07,o3,94.9,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-07,pm25,80.8,ug/m³
IN_Amritsar_Civil,31.63,74.87,2023-10-07,pm10,99.4,ug/m³
